strain	Camphene	Carene	beta_Caryophyllene	D-Limonene	Eucalyptol	Fenchol	Fenchone	Guaiol	alpha_Humulene	Linalool	Terpinolene	Valencene	alpha-Bisabolol	alpha-Cedrene	alpha-Farnesene	alpha-Phellandrene	alpha-Pinene	alpha-Terpinene	alpha-Terpineol	beta-Farnesene	beta-Myrcene	beta-Ocimene	beta-Pinene	cis-Nerolidol	cis-Ocimene	endo-Borneol	gamma-Terpinene	trans-Nerolidol
175	0.009872285	0	0.20460369	0.2335445	0.00614204	0.029868699999999998	0.002996915	0	0.058670299999999995	0.0553294	0.00890993	0	0.0061552	0	0	0	0.09973415	0	0.0063493	0.0063172	0.0413044	0.02647725	0.07065084999999999	0.001232995	0	0.001463595	0	0
176	0.0104124	0	0.12742124999999999	0.126701	0.0120121	0.0173481	0.00181939	0.0595646	0.0379557	0.0249494	0.0289216	0.00666761	0	0.00210482	0.14671	0	0.449403	0	0.0096158	0.191775	0.451569	0.0467349	0.139956	0.00441242	0	0.00190808	0	0
177	0.00376461	0.022548199999999997	0.343593875	0.07038720000000001	0.0055810700000000005	0.012290245	0.00135611	0.0023036999999999997	0.10457905	0.02067505	0.366064	0	0.04195775	0	0.132118	0.03316545	0.1717405	0.00809058	0.0197566	0.04643935	0.136437	0.0261522	0.130134	7.5612e-4	0	0.0027893700000000002	0.00765211	0.010693620000000001
178	0.00181062	0.0103094	0.25802571	0.0249101	0.0032572	0.00654431	9.47346e-4	6.50488e-4	0.0785738	0.00862795	0.173544	0	0.0364455	0	0.0927957	0.012569	0.0763584	0.0031506	0.0130925	0.0232048	0.0435307	0.0099493	0.0625842	0	0	0.00168624	0.00417291	0.00768841
179	0.0100374	0	0.5112001	0.269025	0	0.0477411	0	0	0.112419	0.0231984	0.00334819	0.00274915	0.0283509	0.00599037	0	0	0.0468497	0	0.0397861	0	0.10163	0	0.0540239	0	0.0329292	0.00277055	0	0.00839365
180	0.0063640225	0	0.204996225	0.16795425	0.00351697	0.017236975	3.108425e-4	0.0532971	0.0951687	0.041799475	0.005088275	0	0.0021468675	5.711275e-4	0.040521982500000005	0	0.023319725	0	0.0051262675	0.04188855	0.24378125	8.307325e-4	0.037863425	9.459825e-4	0	0.001363315	0	0.0013496325
181	0.01434135	0	0.098022	0.307434	0	0.036273150000000004	0	0.02345955	0.036377599999999996	0.07632375	0.001917805	0	0	0	0	0	0.0396173	0	0	0	0.11764250000000001	0	0.05982095	0	0	0	0	0
182	0.00912592	0	0.0493802	0.151424	0	0.0300327	0.00216564	0	0.0130373	0.0696368	0.00276512	0	0	0	0	0	0.0280898	0	0	0	0.399935	0	0.0466773	0	0	0	0	0
183	0.002085632857142857	0.05160257142857143	0.17494195571428572	0.050871957142857145	0.013413485714285713	0.006634832857142857	7.993011428571429e-4	0.06293774285714286	0.0533617	0.04516594285714286	0.9961582857142857	0	0.008859277142857143	9.987495714285715e-4	0.11472218571428572	0.061237514285714285	0.09193564285714285	0.03288214285714286	0.013833231428571428	0.05374648571428571	0.3998725714285714	0.24875785714285714	0.13778014285714285	6.447014285714286e-4	0	9.270257142857143e-4	0.017822014285714286	0.004037512857142858
184	0.00806238	0	0.5834304299999999	0.257315	0	0.036881	0.0027062	0.00104659	0.262099	0.129481	0.00747478	0	0.0243235	0	0.222649	3.75048e-4	0.0331817	0	0.048134	0.328161	0.192323	0.00311128	0.0554917	0.00751097	0	0.00748903	0	0.00208895
185	0	0.0242119	0.27344215	0.020006450000000002	0.002082465	0	0	0.0701744	0.07880115	0.014466300000000001	0.49052650000000003	0	0.0063139	6.69415e-4	0.0593269	0.0288248	0.03931195	0.014807250000000001	0.004745785	0.046236849999999996	0.394844	0.01648765	0.05959595	0	0	0	0.007979525	0.003993565
186	0.0083045525	0	0.066693025	0.072638975	0	0.01271185	8.438637500000001e-4	0.032942175000000004	0.0228467	0.02060795	3.4188100000000004e-4	0	0.01333035	0	0.09869895000000001	0	0.40038425	0	0.015304975	0.15238449999999998	0.42545974999999997	0.010676547500000001	0.11349025	0.0035715225000000003	0	0.0059699	0	0.0035092300000000003
187	0.00494995	0	0.00868584	0.0564601	0.00713099	0.00599787	0	0.00993397	0.00383387	0.0050607	9.37167e-4	0	0.00436635	0.00246645	0	0	0.239097	0	0.00729286	0	0.204882	0	0.0683834	0.00537167	0.0254484	0.0011246	4.30245e-4	0
188	0.0129588	0	0.42553518999999995	0.363781	0.00482004	0.035686	0.00333747	0	0.133029	0.0709407	0.0157993	0	0.018445	0	0.144621	4.66488e-4	0.127331	0	0.0181434	0	0.0430694	0.0177393	0.0939088	0	0	0.00324933	0	0.00537299
189	0.007154675	0.012160826999999999	0.191418755	0.04579545	0.005240365	0.006301305	5.0585e-4	0.0140178	0.07008005	0.0436099	0.2333833	0	0.020833749999999998	0.001785775	0.0641542	0.014212225	0.413302	0.0053181	0.00504195	0.0636525	0.6405885	0.06345916	0.186133	0	0	8.296544999999999e-4	0.00401144	0.0058110950000000005
190	0.00984738	0	0.198385	0.162937	0	0.0221635	0.00466081	0.0279891	0.0525246	0.0527322	0	0	0	0	0	0	0.0397123	0	0	0	0.0496647	0.0421241	0.0431292	0	0	0	0	0
191	0.005534745000000001	0	0.275614	0.04230815	0.00522555	0.00325289	5.6649e-4	7.5442e-4	0.0785807	0.07411514999999999	0	0	0.04388465	0	0.0453087	0	0.297041	0	0.007229060000000001	0.02002105	0.7781925000000001	0.0630982	0.07558965000000001	0	0	0.001288005	0	0.0054272850000000004
192	0.00591102	0.0393412	0.25394709	0.17577	0.00838342	0.0169917	0.00325865	0	0.0717784	0.038622	0.767463	0	0.0552053	0	0.123113	0.0439769	0.110544	0.0196239	0.0202277	0.0275802	0.304795	0.312806	0.131648	0	0	0.00165217	0.0144777	0.00425561
193	0.021388	0	0.83879879	0.801648	0	0.0640796	0.0232031	0	0.251197	0.0301661	0.0113131	0	0.0338806	0	0.0683582	0	0.112831	0	0.0748615	0.0325577	0.281094	0.0980163	0.147545	0	0	0.0127516	0	0.00718639
194	0.00686965	2.0822033333333333e-4	0.1037209	0.12223969999999999	0	0.018994533333333334	0.0025235866666666667	0.0285563	0.031636333333333336	0.03455813333333333	0.005238516666666667	0.00252836	0.019433533333333333	0	0.031772060000000005	5.216716666666667e-4	0.14463766666666666	0	0.018301480000000002	0.011371299999999999	0.6446583333333333	3.7885066666666666e-4	0.086681466666666665	0	0	0.00411499	0	0
195	0.017871	0	0.18685559999999998	0.312446	0	0.112699	2.15643e-4	0.0337874	0.0531268	0.013873	0.00354612	0.0109293	0.0160226	0.0333253	0	0	0.104203	0	0.0879137	0	0.105788	0	0.119223	0.00949512	0.0604107	0.0051275	0	0.0137429
196	0.00793363	0	0.28337195000000004	0.252707	0	0.0307568	0.00520555	0	0.0935909	0.0579173	0.0104151	0	0.0430109	0	0.129526	0	0.0351238	0	0.0367187	0.40502	0.313743	0.00594255	0.0600693	0.00555027	0	0.00655077	0	0
197	0.001735038	0	0.081853564	0.1267636	0	0.00547802	0.001408774	0.00785694	0.02222456	0.036235420000000004	0.002379136	0	0.00636924	0	0.029675200000000002	0	0.028857360000000002	0	0.006979979999999999	0.013889679999999998	0.277075	0	0.01141986	0	0	0.001333936	0	0
198	0.0038877	0	0.0957315	0.0439436	0	0.00997904	0.00145845	0.0429429	0.0255398	0.00901622	0	0	0.0172663	0	0	0	0.112548	0	0	0	0.510658	0	0.0485106	0	0	0	0	0
199	0.00895471	0	0.08326853000000001	0.24423	0	0.0311101	0.00240089	0.0245038	0.027416	0.0739792	0.00283098	0	0.0168057	0	0.0837362	0	0.0336075	0	0.0330685	0.183024	0.0450364	0	0.0519456	0.00417421	0	0.00859441	0	0.00181836
200	0.0038772	0	0.120925	0.0177777	0	0.00621686	7.45339e-4	0	0.0278902	0.0215447	0	0	0.00312776	0	0.0084864	0	0.125016	0	0	0	0.323515	0.02876	0.0340523	0	0	0	0	0
201	0.00565006	0	0.284883	0.139613	0	0.0288138	0.00235913	0	0.0798368	0.0621867	0	0	0.0197295	0	0.0205969	0	0.014619	0	0	0	0.0910597	0	0.0270263	0	0	0	0	0
202	0.0122607	0	0.0867665	0.261534	0.00658292	0.0305718	0.00984241	0	0.030474	0	0.945541	0	0.0161357	0	0	0.0633082	0.115859	0.0268519	0.0251093	0	0.399733	0.192983	0.160105	0	0	0.00517162	0.0228581	0
203	0.016154500000000002	0	0.436540635	0.5902215	0	0.08092774999999999	0.00969932	4.6791e-4	0.1460555	0.179722	0.0071461549999999995	0	0.03186565	7.26805e-4	0.34172349999999996	0	0.0877197	0	0.08921675	0.160598	0.1384702	0.017008950000000002	0.10192845	0.00353145	0	0.01818045	5.5696e-4	0.02851195
204	0.0102807	0	0.3865397	0.165235	0.00394956	0.0113569	0.00191533	0	0.113072	0.026793	0	0	0.153538	0	0.0135918	0	0.607863	0	0.00434877	0.0620555	1.12207	0.0186896	0.224524	0	0	0.00139614	0	0
205	0.00219938	0	0.039674919999999995	0.04153	0	0.0129285	0	0	0.0128807	0.0290175	9.08439e-4	0.00625388	0.0101745	0.0199331	0	0	0.00934736	3.01219e-4	0.0128042	0	0.260856	0	0.0200287	0.00664117	0.0152379	7.02845e-4	2.00813e-4	0.00991155
206	0.005042825000000001	0.020645749999999997	0.14820450000000002	0.11316659999999999	0.00398111	0.0209004	0.001696945	0	0.0402992	0.0268619	0.324723	0	0.014274634999999999	0	0.0361564	0.0191804	0.0491783	0.00679972	0.00532805	0.00953825	0.21030900000000002	0.08387315	0.0674039	0	0	6.2023e-4	0.0069165400000000005	0
207	0.0112292	0	0.22252733	0.298464	0	0.0500244	0.00431819	0.0488796	0.0723227	0.140291	0.00261031	0	0.0277295	0	0.21019	0	0.0399951	0	0.057635	0.0189175	0.079294	0	0.0704938	0	0	0.0110165	0	0.00642779
208	0.010548185000000002	0	0.19248346	0.0613849	7.50475e-4	0.0051457	7.9301e-4	0	0.07121395	0.06720045	0	0	0.04282	0	0.10583799999999999	0	0.6015615000000001	0	0.0125479	0.29769900000000005	0.7018555	4.943975e-4	0.23750150000000003	0.0069786	0	0.00336983	0	0.013092304999999999
209	0.00898357	0	0.5477417	0.175283	0.010137	0.0199116	0.00246656	0.00224578	0.144683	0.0222981	0.0133455	0	0.112707	0	0.242002	0	0.237129	0	0.00934923	0.0395367	0.574757	0.0307855	0.120882	0	0	0.00163018	0	0
210	0.00536916	0.0202847	0.134363	0.0666448	0.00691324	0.014073	0.00178739	0	0.0328993	0.0109728	0.233051	0	0	0	0.0379879	0.0149039	0.113661	0.00595906	0	0	0.122743	0.0225932	0.100871	0	0	0	0.00419586	0
211	0.0052185	4.117e-5	0.42135225	0.09853295	0	0.026461474999999998	7.6163375e-4	0.0032741424999999996	0.0693188	0.020052975	2.8723e-4	0	0.07051475	0	0.0888264	0	0.017886825	0	0.01315496	0.0110485825	0.07532525	3.7969e-5	0.028338375	0	0	0.0076605175	0	0.008554187500000001
212	0.0135526	0	0.209454	0.49222	0	0.0358611	0.00189573	0.0693901	0.0879611	0.175562	0.00841137	0	0.0230668	0.00181327	0	0	0.0519834	0	0.0181422	0.0883318	0.278744	0	0.0823654	0	0	0.00316066	0	0
213	0.0063211199999999995	0.0229462	0.0362042	0.11659900000000001	0.00469225	0.020829599999999997	0.00428476	0.00750666	0.010424639999999999	0.0146596	0.30375450000000004	2.98111e-4	0	0	0	0.0197503	0.061095449999999996	0.007001240000000001	0	0	0.1330245	0.01121464	0.0866353	0	0	0	0.0049504300000000005	0
214	0	0	0.0666136	0.0303473	0	0	0	0	0.0270471	0.00879009	9.90931e-4	0	0	0	0	0	0.753594	0	0	0	0.107096	0	0	0	0	0	0	0
215	0	0	0.0574261	0.0286662	0	0	0	0	0.0232631	0.00498192	0	0	0	0	0	0	0.751351	0	0	0	0.115899	0	0	0	0	0	0	0
